Gene.identifier	RefSeq.ID	Gene.Symbol	Entrez.Gene	Alternate.Gene.Symbols	Gene.Description	X	MouseGene
ENSG00000094631	NM_006044	HDAC6	10013	HD6, JM21, FLJ16239	histone deacetylase 6 (HDAC6), mRNA.	Cell division defect	Hdac6
ENSG00000103653	NM_004383	CSK	1445	MGC117393	c-src tyrosine kinase (CSK), mRNA.	Cell division defect	Csk
ENSG00000174021	NM_005274	GNG5	2787		guanine nucleotide binding protein (G protein), gamma 5 (GNG5), mRNA.	Cell division defect	Gng5
ENSG00000110347	NM_002426	MMP12	4321	HME, MME, MGC138506	matrix metallopeptidase 12 (macrophage elastase) (MMP12), mRNA.	Cell division defect	Mmp12
ENSG00000142168	NM_000454	SOD1	6647	ALS, SOD, ALS1, IPOA, homodimer	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult)) (SOD1), mRNA.	Cell division defect	Sod1
ENSG00000086062	NM_001497	B4GALT1	2683	GT1, GTB, GGTB2, B4GAL-T1, MGC50983,beta4Gal-T1, DKFZp686N19253	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 (B4GALT1), mRNA.	Cell division defect	B4galt1
ENSG00000004897	NM_001256	CDC27	996	APC3, HNUC, D0S1430E, D17S978E	cell division cycle 27 (CDC27), mRNA.	Cell division defect	Cdc27
ENSG00000102189	NM_003566	EEA1	8411	ZFYVE2	early endosome antigen 1, 162kD (EEA1), mRNA.	Cell division defect	Eea1
ENSG00000167272	NM_015918,NM_198202	POP5	51367	RPP2, RPP20, HSPC004	processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae) (POP5), transcript variant 1, mRNA.	Cell division defect	Pop5
ENSG00000163806	NM_206876,NM_001008779	PPP1CB	5500	PP-1B, PPP1CD, MGC3672	protein phosphatase 1, catalytic subunit, beta isoform (PPP1CB), transcript variant 3, mRNA.	Cell division defect	Ppp1cb
ENSG00000171566	NM_002669	PLRG1	5356	PRL1, MGC110980	pleiotropic regulator 1 (PRL1 homolog, Arabidopsis) (PLRG1), mRNA.	Cell division defect	Plrg1
ENSG00000198399	NM_006277	ITSN2	50618	SWA, SWAP, SH3D1B, SH3P18, KIAA1256	intersectin 2 (ITSN2), transcript variant 1, mRNA.	Cell division defect	Itsn2
ENSG00000087086	NM_000146	FTL	2512	MGC71996	ferritin, light polypeptide (FTL), mRNA.	Cell division defect	Ftl1-ps2
ENSG00000103546	NM_001043	SLC6A2	6530	NET, NAT1, NET1, SLC6A5	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2 (SLC6A2), mRNA.	Cell division defect	Slc6a2
ENSG00000135476	NM_012291	ESPL1	9700	ESP1, SEPARIN, KIAA0165	extra spindle poles like 1 (S. cerevisiae) (ESPL1), mRNA.	Cell division defect	Espl1
ENSG00000060491	NM_007346	OGFR	11054		opioid growth factor receptor (OGFR), mRNA.	Cell division defect	Ogfr
ENSG00000171067	NM_022338	C11orf24	53838	DM4E3	chromosome 11 open reading frame 24 (C11orf24), mRNA.	Cell division defect	1810055G02Rik
ENSG00000112493	NM_003190	TAPBP	6892	TPN, TAPA, TPSN, NGS17	TAP binding protein (tapasin) (TAPBP), transcript variant 1, mRNA.	Cell division defect	Tapbp
ENSG00000166226	NM_006431	CCT2	10576	CCTB, 99D8.1, PRO1633, CCT-beta,MGC142074, MGC142076, TCP-1-beta	chaperonin containing TCP1, subunit 2 (beta) (CCT2), mRNA.	Cell division defect	Cct2
ENSG00000166851	NM_005030	PLK1	5347	PLK, STPK13	polo-like kinase 1 (Drosophila) (PLK1), mRNA.	Cell division defect	Plk1
ENSG00000141540	NM_032646	TTYH2	94015	MGC4837, C17orf29, MGC126172	tweety homolog 2 (Drosophila) (TTYH2), transcript variant 1, mRNA.	Cell division defect	Ttyh2
ENSG00000171766	NM_001482	GATM	2628	AGAT	glycine amidinotransferase (L-arginine:glycine amidinotransferase) (GATM), mRNA.	Cell division defect	Gatm
ENSG00000137807	NM_004856,NM_138555	KIF23	9493	CHO1, KNSL5, MKLP1, MKLP-1	kinesin family member 23 (KIF23), transcript variant 2, mRNA.	Cell division defect	Kif23
ENSG00000131016	NM_005100,NM_144497	AKAP12	9590	AKAP250, DKFZp686M0430, DKFZp686O0331	A kinase (PRKA) anchor protein (gravin) 12 (AKAP12), transcript variant 1, mRNA.	Cell division defect	Akap12
ENSG00000108244	NM_015515	KRT23	25984	K23, CK23, HAIK1, MGC26158, DKFZP434G032	keratin 23 (histone deacetylase inducible) (KRT23), mRNA.	Cell division defect	Krt23
ENSG00000115524	NM_001005526	SF3B1	23451	PRP10, PRPF10, SAP155, SF3b155	splicing factor 3b, subunit 1, 155kDa (SF3B1), transcript variant 2, mRNA.	Cell division defect	Sf3b1
ENSG00000134690	NM_018101	CDCA8	55143	BOR, FLJ10468, FLJ12042	cell division cycle associated 8 (CDCA8), mRNA.	Cell division defect	Cdca8
ENSG00000139343	NM_003095	SNRPF	6636	SMF	small nuclear ribonucleoprotein polypeptide F (SNRPF), mRNA.	Cell division defect	Snrpf
ENSG00000149503	NM_020238	INCENP	3619	FLJ31633, MGC111393	inner centromere protein antigens 135/155kDa (INCENP), mRNA.	Cell division defect	Incenp
ENSG00000159166	NM_005558	LAD1	3898	LadA, MGC10355	ladinin 1 (LAD1), mRNA.	Cell division defect	Lad1
ENSG00000122692	NM_018225	SMU1	55234	BWD, SMU-1, FLJ10805, FLJ11970,RP11-54K16.3	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans) (SMU1), mRNA.	Cell division defect	Smu1
ENSG00000164609	NM_006425	SLU7	10569	hSlu7, MGC9280	step II splicing factor SLU7 (SLU7), mRNA.	Cell division defect	Slu7
ENSG00000116852	NM_017596	KIF21B	23046	 	PREDICTED: kinesin family member 21B, transcript variant 1 (KIF21B), mRNA.	Cell division defect	Kif21b
ENSG00000101882	NM_024528	NKAP	79576	FLJ22626	NF-kappaB activating protein (NKAP), mRNA.	Cell division defect	Nkap
ENSG00000163468	NM_005998	CCT3	7203	CCTG, PIG48, TRIC5, CCT-gamma,TCP-1-gamma	chaperonin containing TCP1, subunit 3 (gamma) (CCT3), transcript variant 1, mRNA.	Cell division defect	Cct3
ENSG00000114346	NM_018098	ECT2	1894	FLJ10461, MGC138291	epithelial cell transforming sequence 2 oncogene (ECT2), mRNA.	Cell division defect	Ect2
ENSG00000115484	NM_006430	CCT4	10575	SRB, Cctd, MGC126164, MGC126165	chaperonin containing TCP1, subunit 4 (delta) (CCT4), mRNA.	Cell division defect	Cct4
ENSG00000110906	NM_031954	KCTD10	83892	ULRO61, MSTP028, FLJ41739	potassium channel tetramerisation domain containing 10 (KCTD10), mRNA.	Cell division defect	Kctd10
ENSG00000130758	NM_002446	MAP3K10	4294	MST, MLK2	mitogen-activated protein kinase kinase kinase 10 (MAP3K10), mRNA.	Cell division defect	Map3k10
ENSG00000150991	NM_021009	UBC	7316	HMG20	ubiquitin C (UBC), mRNA.	Cell division defect	Ubc
ENSG00000113141	NM_006083	IK	3550	RED, CSA2, MGC59741, IK protein	IK cytokine, down-regulator of HLA II (IK), mRNA.	Cell division defect	Ik
ENSG00000138160	NM_004523	KIF11	3832	EG5, HKSP, KNSL1, TRIP5	kinesin family member 11 (KIF11), mRNA.	Cell division defect	Kif11
ENSG00000101639	NM_018069	CEP192	55125		centrosomal protein 192kDa (CEP192), transcript variant 2, mRNA.	Cell division defect	Cep192
ENSG00000139350	NM_152905	NEDD1	121441	FLJ35902	neural precursor cell expressed, developmentally down-regulated 1 (NEDD1), mRNA.	Cell division defect	Nedd1
ENSG00000159140	NM_058183,NM_003103	SON	6651	SON3, BASS1, DBP-5, NREBP, C21orf50,FLJ21099, KIAA1019	SON DNA binding protein (SON), transcript variant e, mRNA.	Cell division defect	Son
ENSG00000183258	NM_016222	DDX41	51428	ABS, MGC8828	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 (DDX41), mRNA.	Cell division defect	Ddx41
ENSG00000083312	NM_153188	TNPO1	3842	MIP, TRN, IPO2, MIP1, KPNB2	transportin 1 (TNPO1), transcript variant 2, mRNA.	Cell division defect	Tnpo1
ENSG00000163930	NM_004656	BAP1	8314	hucep-6, FLJ35406, FLJ37180, HUCEP-13,KIAA0272, DKFZp686N04275	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) (BAP1), mRNA.	Cell division defect	Bap1
ENSG00000135624	NM_006429	CCT7	10574	Ccth, Nip7-1, CCT-ETA, MGC110985,TCP-1-eta	chaperonin containing TCP1, subunit 7 (eta) (CCT7), transcript variant 1, mRNA.	Cell division defect	Cct7
ENSG00000122966	NM_007174	CIT	11113	CRIK, STK21, KIAA0949	citron (rho-interacting, serine/threonine kinase 21) (CIT), mRNA.	Cell division defect	Cit
ENSG00000165887	NM_020349	ANKRD2	26287	AARP, MGC104314	ankyrin repeat domain 2 (stretch responsive muscle) (ANKRD2), mRNA.	Cell division defect	Ankrd2
ENSG00000158169	NM_000136	FANCC	2176	FA3, FAC, FACC, FLJ14675	Fanconi anemia, complementation group C (FANCC), mRNA.	Cell division defect	Fancc
ENSG00000183431	NM_006802	SF3A3	10946	PRP9, PRPF9, SAP61, SF3a60	splicing factor 3a, subunit 3, 60kDa (SF3A3), mRNA.	Cell division defect	Sf3a3
ENSG00000106144	NM_032983	CASP2	835	ICH1, NEDD2, CASP-2, ICH-1L, ICH-1L/1S	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2) (CASP2), transcript variant 3, mRNA.	Cell division defect	Casp2
ENSG00000183770	NM_023067	FOXL2	668	BPES, PFRK, POF3, BPES1, PINTO	forkhead box L2 (FOXL2), mRNA.	Cell division defect	Foxl2
ENSG00000099995	NM_005877	SF3A1	10291	PRP21, PRPF21, SAP114, SF3A120	splicing factor 3a, subunit 1, 120kDa (SF3A1), transcript variant 1, mRNA.	Cell division defect	Sf3a1
ENSG00000134072	NM_003656	CAMK1	8536	CAMKI, MGC120317, MGC120318	calcium/calmodulin-dependent protein kinase I (CAMK1), mRNA.	Cell division defect	Camk1
ENSG00000162385	NM_002370	MAGOH	4116		mago-nashi homolog, proliferation-associated (Drosophila) (MAGOH), mRNA.	Cell division defect	Magoh
ENSG00000139112	NM_031412	GABARAPL1	23710	ATG8, GEC1, APG8L	GABA(A) receptor-associated protein like 1 (GABARAPL1), mRNA.	Cell division defect	Gabarapl1
ENSG00000100632	NM_004450	ERH	2079	DROER, FLJ27340	enhancer of rudimentary homolog (Drosophila) (ERH), mRNA.	Cell division defect	Erh
ENSG00000102898	NM_005796	NUTF2	10204	NTF2, PP15	nuclear transport factor 2 (NUTF2), mRNA.	Cell division defect	Nutf2-ps2
ENSG00000145386	NM_001237	CCNA2	890	CCN1, CCNA	cyclin A2 (CCNA2), mRNA.	Cell division defect	Ccna2
ENSG00000088038	NM_014516	CNOT3	4849	NOT3, LENG2, NOT3H, KIAA0691	CCR4-NOT transcription complex, subunit 3 (CNOT3), mRNA.	Cell division defect	Cnot3
ENSG00000141552	NM_001002248,NM_001002244	ANAPC11	51529	APC11, Apc11p, MGC882, HSPC214	APC11 anaphase promoting complex subunit 11 homolog (yeast) (ANAPC11), transcript variant 6, mRNA.	Cell division defect	Anapc11
ENSG00000174348	NM_153703	PODN	127435	PCAN, SLRR5A, MGC24995	podocan (PODN), mRNA.	Cell division defect	Podn
ENSG00000154122	NM_054027	ANKH	56172	ANK, CMDJ, HANK, MANK, CCAL2, CPPDD,FLJ27166	ankylosis, progressive homolog (mouse) (ANKH), mRNA.	G0/1 arrest	Ank
ENSG00000100764	NM_002802	PSMC1	5700	S4, p56, P26S4, MGC8541, MGC24583	proteasome (prosome, macropain) 26S subunit, ATPase, 1 (PSMC1), mRNA.	G0/1 arrest	Psmc1
ENSG00000118922	NM_007249,NM_016285	KLF12	11278	AP2REP, AP-2rep, HSPC122	Kruppel-like factor 12 (KLF12), transcript variant 1, mRNA.	G0/1 arrest	Klf12
ENSG00000155749	NM_139163	ALS2CR12	130540		amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12 (ALS2CR12), mRNA.	G0/1 arrest	Als2cr12
ENSG00000174640	NM_005630	SLCO2A1	6578	PGT, OATP2A1, SLC21A2	solute carrier organic anion transporter family, member 2A1 (SLCO2A1), mRNA.	G0/1 arrest	Slco2a1
ENSG00000165916	NM_002804	PSMC3	5702	TBP1, MGC8487	proteasome (prosome, macropain) 26S subunit, ATPase, 3 (PSMC3), mRNA.	G0/1 arrest	Psmc3
ENSG00000111605	NM_007007	CPSF6	11052	CFIM, CFIM68, HPBRII-4, HPBRII-7	cleavage and polyadenylation specific factor 6, 68kDa (CPSF6), mRNA.	G0/1 arrest	Cpsf6
ENSG00000140259	NM_005926	MFAP1	4236		microfibrillar-associated protein 1 (MFAP1), mRNA.	G0/1 arrest	Mfap1b
ENSG00000154920	NM_152463	EME1	146956	MMS4L, FLJ31364	essential meiotic endonuclease 1 homolog 1 (S. pombe) (EME1), mRNA.	G0/1 arrest	Eme1
ENSG00000175445	NM_000237	LPL	4023	LIPD	lipoprotein lipase (LPL), mRNA.	G0/1 arrest	Lpl
ENSG00000132429	NM_022361	POPDC3	64208	POP3, MGC22671, bA355M14.1	popeye domain containing 3 (POPDC3), mRNA.	G0/1 arrest	Popdc3
ENSG00000105127	NM_005858	AKAP8	10270	AKAP95, DKFZp586B1222	A kinase (PRKA) anchor protein 8 (AKAP8), mRNA.	G0/1 arrest	Akap8
ENSG00000139053	NM_006205	PDE6H	5149	RCD3	phosphodiesterase 6H, cGMP-specific, cone, gamma (PDE6H), mRNA.	G0/1 arrest	Pde6h
ENSG00000131941	NM_033103	RHPN2	85415	RhoBP, p76RBE	rhophilin, Rho GTPase binding protein 2 (RHPN2), mRNA.	G0/1 arrest	Rhpn2
ENSG00000118639	NM_005667	RNF103	7844	KF1, hkf-1, ZFP103, MGC41857	ring finger protein 103 (RNF103), mRNA.	G0/1 arrest	Rnf103
ENSG00000143545	NM_002870	RAB13	5872	GIG4	RAB13, member RAS oncogene family (RAB13), mRNA.	G0/1 arrest	Rab13
ENSG00000118640	NM_003761	VAMP8	8673	EDB, VAMP5	vesicle-associated membrane protein 8 (endobrevin) (VAMP8), mRNA.	G0/1 arrest	Vamp8
ENSG00000175220	NM_004308	ARHGAP1	392	RHOGAP, RHOGAP1, CDC42GAP, p50rhoGAP	Rho GTPase activating protein 1 (ARHGAP1), mRNA.	G0/1 arrest	Arhgap1
ENSG00000108306	NM_032875	FBXL20	84961	Fbl2, Fbl20, MGC15482	F-box and leucine-rich repeat protein 20 (FBXL20), mRNA.	G0/1 arrest	Fbxl20
ENSG00000151849	NM_018451	CENPJ	55835	LAP, CPAP, LIP1, BM032, CEMPJ, MCPH6,MGC131581, MGC131582, MGC142222, MGC142224	centromere protein J (CENPJ), mRNA.	G0/1 arrest	Cenpj
ENSG00000143106	NM_002790	PSMA5	5686	PSC5, ZETA, MGC117302, MGC125802,MGC125803, MGC125804	proteasome (prosome, macropain) subunit, alpha type, 5 (PSMA5), mRNA.	G0/1 arrest	Psma5
ENSG00000197780	NM_005645	TAF13	6884	TAF2K, TAFII18, MGC22425	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa (TAF13), mRNA.	G0/1 arrest	Taf13
ENSG00000161298	NM_032825	ZNF382	84911	KS1, FLJ14686	zinc finger protein 382 (ZNF382), mRNA.	G0/1 arrest	Zfp382
ENSG00000146592	NM_182898	CREB5	9586	CRE-BPA	cAMP responsive element binding protein 5 (CREB5), transcript variant 1, mRNA.	G0/1 arrest	Creb5
ENSG00000072803	NM_012300,NM_033644	FBXW11	23291	Hos, BTRC2, FBW1B, Fbw11, BTRCP2, FBXW1B,KIAA0696	F-box and WD-40 domain protein 11 (FBXW11), transcript variant 3, mRNA.	G0/1 arrest	Fbxw11
ENSG00000082212	NM_002396	ME2	4200		malic enzyme 2, NAD(+)-dependent, mitochondrial (ME2), nuclear gene encoding mitochondrial protein, mRNA.	G0/1 arrest	Me2
ENSG00000112333	NM_003269	NR2E1	7101	TLL, TLX, XTLL	nuclear receptor subfamily 2, group E, member 1 (NR2E1), mRNA.	G0/1 arrest	Nr2e1
ENSG00000103426	NM_024535	CORO7	79585	CRN7, FLJ22021, 0610011B16Rik	coronin 7 (CORO7), mRNA.	G0/1 arrest	Coro7
ENSG00000183161	NM_022725	FANCF	2188	FAF, MGC126856	Fanconi anemia, complementation group F (FANCF), mRNA.	G0/1 arrest	Fancf
ENSG00000163110	NM_001011513,NM_001011516	LDB3	10611	L9, ENH, LIM, PDLIM5	PDZ and LIM domain 5 (PDLIM5), transcript variant 2, mRNA.	G0/1 arrest	Ldb3
ENSG00000153094	NM_207002,NM_138624,NM_138623	BCL2L11	10018	BAM, BIM, BOD, BimL, BimEL	BCL2-like 11 (apoptosis facilitator) (BCL2L11), transcript variant 9, mRNA.	G0/1 arrest	Bcl2l11
ENSG00000125848	NM_198391	FLRT3	23767		fibronectin leucine rich transmembrane protein 3 (FLRT3), transcript variant 2, mRNA.	G0/1 arrest	Flrt3
ENSG00000076242	NM_000249	MLH1	4292	FCC2, COCA2, HNPCC, hMLH1, HNPCC2,MGC5172	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli) (MLH1), mRNA.	G0/1 arrest	Mlh1
ENSG00000187231	NM_178123	SESTD1	91404	SOLO, DKFZp434O0515	SEC14 and spectrin domains 1 (SESTD1), mRNA.	G0/1 arrest	Sestd1
ENSG00000153234	NM_006186	NR4A2	4929	NOT, RNR1, HZF-3, NURR1, TINUR	nuclear receptor subfamily 4, group A, member 2 (NR4A2), transcript variant 1, mRNA.	G0/1 arrest	Nr4a2
ENSG00000168795	NM_014872	ZBTB5	9925		zinc finger and BTB domain containing 5 (ZBTB5), mRNA.	G0/1 arrest	Zbtb5
ENSG00000078487	NM_017984	ZCWPW1	55063	ZCW1, FLJ10057	zinc finger, CW type with PWWP domain 1 (ZCWPW1), mRNA.	G0/1 arrest	Zcwpw1
ENSG00000166341	NM_003737	DCHS1	8642	FIB1, CDH25, PCDH16, FLJ11790, KIAA1773	dachsous 1 (Drosophila) (DCHS1), mRNA.	G0/1 arrest	Dchs1
ENSG00000171720	NM_003883	HDAC3	8841	HD3, RPD3, RPD3-2	histone deacetylase 3 (HDAC3), mRNA.	G0/1 arrest	Hdac3
ENSG00000188729	NM_198184	OSTN	344901		osteocrin (OSTN), mRNA.	G0/1 arrest	Ostn
ENSG00000164713	NM_015379	BRI3	25798	I3	brain protein I3 (BRI3), mRNA.	G0/1 arrest	Bri3
ENSG00000137575	NM_001007068	SDCBP	6386	ST1, SYCL, MDA-9, TACIP18	syndecan binding protein (syntenin) (SDCBP), transcript variant 3, mRNA.	G0/1 arrest	Sdcbp
ENSG00000132581	NM_006923	SDF2	6388		stromal cell-derived factor 2 (SDF2), mRNA.	G0/1 arrest	Sdf2
ENSG00000170542	NM_004155	SERPINB9	5272	PI9, CAP3, CAP-3	serpin peptidase inhibitor, clade B (ovalbumin), member 9 (SERPINB9), mRNA.	G0/1 arrest	Serpinb9
ENSG00000100612	NM_016029	DHRS7	51635	CGI-86, retDSR4, retSDR4	dehydrogenase/reductase (SDR family) member 7 (DHRS7), mRNA.	G0/1 arrest	Dhrs7
ENSG00000088387	NM_015296	DOCK9	23348	ZIZ1, FLJ16744, FLJ44528, FLJ45282,FLJ45601, KIAA1058, KIAA1085, zizimin1, RP11-155N3.2,DKFZp686N04132	dedicator of cytokinesis 9 (DOCK9), mRNA.	G0/1 arrest	Dock9
ENSG00000170759	NM_004521	KIF5B	3799	KNS, KINH, KNS1, UKHC, U-KHC	kinesin family member 5B (KIF5B), mRNA.	G0/1 arrest	Kif5b
ENSG00000169684	NM_000745	CHRNA5	1138		cholinergic receptor, nicotinic, alpha 5 (CHRNA5), mRNA.	G0/1 arrest	Chrna5
ENSG00000125485	NM_022779,NM_138620	DDX31	64794	FLJ13633, FLJ14578, FLJ23349, helicain A,helicain B, helicain C	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31 (DDX31), transcript variant 1, mRNA.	G0/1 arrest	Ddx31
ENSG00000005844	NM_002209	ITGAL	3683	CD11A, LFA-1, LFA1A	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) (ITGAL), mRNA.	G0/1 arrest	Itgal
ENSG00000113269	NM_018434	RNF130	55819	GP, G1RZFP, GOLIATH, MGC99542, MGC117241,MGC138647	ring finger protein 130 (RNF130), mRNA.	G0/1 arrest	Rnf130
ENSG00000137269	NM_018214	LRRC1	55227	LANO, FLJ10775, FLJ11834, dJ523E19.1	leucine rich repeat containing 1 (LRRC1), mRNA.	G0/1 arrest	Lrrc1
ENSG00000198589	NM_006726	LRBA	987	BGL, LBA, CDC4L, LAB300, FLJ16600,FLJ25686, MGC72098, DKFZp686K03100	LPS-responsive vesicle trafficking, beach and anchor containing (LRBA), mRNA.	G0/1 arrest	Lrba
ENSG00000099399	NM_002364	MAGEB2	4113	DAM6, MGC26438, MAGE-XP-2	melanoma antigen family B, 2 (MAGEB2), mRNA.	G0/1 arrest	Mageb4
ENSG00000156711	NM_002754	MAPK13	5603	SAPK4, PRKM13, MGC99536, p38delta	mitogen-activated protein kinase 13 (MAPK13), mRNA.	G0/1 arrest	Mapk13
ENSG00000074319	NM_006292	TSG101	7251	TSG10, VPS23	tumor susceptibility gene 101 (TSG101), mRNA.	G0/1 arrest	Tsg101
ENSG00000175110	NM_020191	MRPS22	56945	GIBT, GK002, C3orf5, RPMS22, MRP-S22	mitochondrial ribosomal protein S22 (MRPS22), nuclear gene encoding mitochondrial protein, mRNA.	G0/1 arrest	Mrps22
ENSG00000067715	NM_005639	SYT1	6857	P65, SYT, SVP65, DKFZp781D2042	synaptotagmin I (SYT1), mRNA.	G0/1 arrest	Syt1
ENSG00000110344	NM_004788	UBE4A	9354	E4, UFD2, UBOX2, KIAA0126, MGC133315	ubiquitination factor E4A (UFD2 homolog, yeast) (UBE4A), mRNA.	G0/1 arrest	Ube4a
ENSG00000168615	NM_003816	ADAM9	8754	MCMP, MDC9, Mltng, KIAA0021	ADAM metallopeptidase domain 9 (meltrin gamma) (ADAM9), transcript variant 1, mRNA.	G0/1 arrest	Adam9
ENSG00000108094	NM_003591	CUL2	8453	MGC131970	cullin 2 (CUL2), mRNA.	G0/1 arrest	Cul2
ENSG00000186187	NM_032268	ZNRF1	84937	NIN283, FLJ14846, MGC15430, DKFZp434E229	zinc and ring finger 1 (ZNRF1), mRNA.	G0/1 arrest	Znrf1
ENSG00000116194	NM_004673	ANGPTL1	9068	ANG3, ARP1, AngY, ANGPT3, UNQ162,KIAA0351, dJ595C2.2	angiopoietin-like 1 (ANGPTL1), mRNA.	G0/1 arrest	Angptl1
ENSG00000119139	NM_201629	TJP2	9414	ZO2, X104, ZO-2, MGC26306	tight junction protein 2 (zona occludens 2) (TJP2), transcript variant 2, mRNA.	G0/1 arrest	Tjp2
ENSG00000198373	NM_199423	WWP2	11060	AIP2, WWp2-like	WW domain containing E3 ubiquitin protein ligase 2 (WWP2), transcript variant 3, mRNA.	G0/1 arrest	Wwp2
ENSG00000131437	NM_007054	KIF3A	11127		kinesin family member 3A (KIF3A), mRNA.	G0/1 arrest	Kif3a
ENSG00000145632	NM_006622	PLK2	10769	SNK	polo-like kinase 2 (Drosophila) (PLK2), mRNA.	G0/1 arrest	Plk2
ENSG00000147439	NM_018688	BIN3	55909		bridging integrator 3 (BIN3), mRNA.	G0/1 arrest	Bin3
ENSG00000197775	NM_021004	DHRS4	10901	DHRS4L2, FLJ11008, SCAD-SRL, SDR-SRL, humNRDR	peroxisomal short-chain alcohol dehydrogenase	G0/1 arrest	Dhrs4
